,Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
1560,'5764608310152383298',12/6/2020,-120.1,-18.95,10,115.02170600000001,-8.790082,POINT (115.021706 -8.790082)
1572,'5764608310152383804',12/6/2020,-122.19,-19.97,16,115.01792900000001,-8.779903,POINT (115.017929 -8.779902999999999)
1575,'5764608310152383877',12/6/2020,-123.67,-20.0,3,115.018616,-8.780921000000001,POINT (115.018616 -8.780921000000001)
1590,'5764608310152384388',12/6/2020,-123.56,-19.5,9,115.02410900000001,-8.781260000000001,POINT (115.024109 -8.781260000000001)
1597,'5764608310152384467',12/6/2020,-120.5,-19.0,4,115.02445300000001,-8.777528,POINT (115.024453 -8.777528)
1620,'5764608310152385826',12/6/2020,-121.8,-20.0,5,115.0066,-8.760223,POINT (115.0066 -8.760223)
1634,'5764608310152386769',12/6/2020,-125.75,-18.5,8,115.018616,-8.772099,POINT (115.018616 -8.772099000000001)
1646,'5764608310152387078',12/6/2020,-120.07,-15.76,313,115.02170600000001,-8.775831,POINT (115.021706 -8.775831)
1654,'5764608310152387305',12/6/2020,-125.0,-18.5,1,115.026169,-8.773456,POINT (115.026169 -8.773455999999999)
1660,'5764608310152387572',12/6/2020,-120.8,-18.05,30,115.02548300000001,-8.766331,POINT (115.025483 -8.766330999999999)
1667,'5764608310152387815',12/6/2020,-123.25,-20.0,4,115.02033300000001,-8.76192,POINT (115.020333 -8.76192)
1674,'5764608310152388071',12/6/2020,-127.0,-20.0,3,115.02033300000001,-8.756491,POINT (115.020333 -8.756491)
1681,'5764608310152388259',12/6/2020,-127.67,-20.0,3,115.025826,-8.765313,POINT (115.025826 -8.765313000000001)
1686,'5764608310152388432',12/6/2020,-121.27,-19.27,15,115.021363,-8.756151,POINT (115.021363 -8.756150999999999)
1699,'5764608310152389199',12/6/2020,-125.67,-20.0,3,115.03337900000001,-8.794493,POINT (115.033379 -8.794492999999999)
1701,'5764608310152389282',12/6/2020,-127.0,-18.56,8,115.03681200000001,-8.798225,POINT (115.036812 -8.798225)
1702,'5764608310152389323',12/6/2020,-120.18,-18.36,11,115.036126,-8.795171,POINT (115.036126 -8.795171)
1709,'5764608310152389644',12/6/2020,-122.67,-20.0,3,115.027542,-8.786688999999999,POINT (115.027542 -8.786688999999999)
